NAME,ABBREVIATION,DESCRIPTION,PARENT,DEPTH,DEPARTMENT
DCHS/BHRD - Crisis & Commitment Section (CCS),DCHS BHRD CCS,King County Crisis and Commitment Services (KC CCS) is an agency of King County. It is a part of the Behavioral Health and Recovery Division of the King County Department of Community and Human Services.,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - Cross Systems & Contracting Services,NA,NA,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - Emergency Services Patrol,NA,"The Dutch Shisler Sobering Support Center serves chronic public inebriates (CPI) and others in need of a safe and secure place to recover from the acute effects of intoxication.

The Sobering Center is open 24 hours a day, seven days a week, 365 days a year.",DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - Finance/Clerical Section,NA,NA,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - High Utilizers,NA,Addresses overuse of public systems by alcohol and drug impacted adults and to assist these adults in obtaining treatment for substance use disorder problems and other support as necessary.,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - MIDD,NA,NA,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/BHRD - System Performance Evaluation,NA,NA,DCHS/Behavioral Health and Recovery Division (BHRD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD - Finance & Administrative Services (FAS),DCHS CSD FAS,The finance and administrative services section provides support services to programs in the Community Services Division. This support includes fiscal support and grants management; county budget preparation and monitoring; administrative and clerical sup,DCHS/Community Services Division - Director's Office,3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD - Performance Measurement & Evaluation Unit,NA,NA,DCHS/Community Services Division - Director's Office,3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/Veterans and Community Services (VCS),DCHS CSD VCS,NA,DCHS/Community Services Division - Director's Office,3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/HCD - Community Development Program,NA,King County annually receives Community Development Block Grant (CDBG) Funds from the United States Department of Housing and Urban Development (HUD). The primary objective of the CDBG Program as set forth by Congress is the development of viable urban co,DCHS/CSD/Housing and Community Development (HCD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/HCD - Homeless Housing Program,NA,Coordinates policy and planning for regional homeless issues.  Administers funding to organizations who serve the homeless.,DCHS/CSD/Housing and Community Development (HCD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/HCD - Housing Finance Program,NA,NA,DCHS/CSD/Housing and Community Development (HCD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/HCD - Housing Rehabilitation Program,NA,NA,DCHS/CSD/Housing and Community Development (HCD),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - Career Connections,NA,"A workforce development program  designed to compliment the Rapid Re-housing efforts of the City of Seattle and King County, and to support Veterans and their family members.  In addition, services are offered to paroled offenders for family, and to some households identified as being in high need of human services.  Clients are accepted only by referral from established partner housing agencies who provide subsidized housing.  The goal of the Career Connections program is to promote self-sufficiency for its participants by providing job training and job search assistance in an effort to raise client incomes sufficiently to support their household in the same residence after their subsidy expires.",DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - Comprehensive Youth Programs,NA,Community College Campus-based Learning Centers provide an entry point into Community College for young adults who dont have high school diplomas but want to pursue a post-secondary education.,DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - In-School Program,NA,The In-School Program collaboration of eleven school districts and over 20 community organizations. This summer we provided work-based learning services to 190 14 to 16 year old students who school districts thought at risk of dropping out.,DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - Jobs Initiative,NA,"A workforce development program designed for adults who are currently or previously involved in the criminal justice system within one year from their release date to gain access to vocational training and living-wage jobs. The program is community driven in that community-based organizations are contracted to provide the direct service component of outreach and recruitment, comprehensive case management, vocational training, job placement and retention. Participants are provided with retention services one year from the date of job placement.",DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - Learning Center North,NA,"The Learning Center North in Seattle is dedicated to providing young people with the support, encouragement and instruction they need to overcome barriers to education and employment.",DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - MIS/Fiscal,NA,Prepare young peoples expenses for participating in the Work Training Program.,DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - WorkSource,NA,"The aim of the King County Dislocated Worker Program is to help businesses find productive workers and to help find employment for people who have lost their jobs through company downsizing or closure, and to assist with training.",DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - Youth & Family Services,NA,NA,DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
DCHS/CSD/WTP - Youth Source,NA,Provides youth in need of holistic suport and network.  The main goal is to help individual youth increase their educational attainment and access quality jobs offering advancement potential; to provide a system-wide approach to meet the needs of out-of-s,DCHS/Employment and Education Resources (EER),3,Department of Community and Human Services (DCHS) Director's Office
ELECTIONS - Geographic Information Services,NA,"Geographic Information Services for King County Elections.
Parent Group: Elections - Technical Services.",ELECTIONS - Technical Services,3,Department of Elections
DES/FMD - Capital Planning and Major Projects,NA,"Manage capital projects for various King County Departments.  Do in-house design or administer design contracts to meet clients needs, permits requirements, and all codes. 
QUALITY CONTROL: Provide cost estimating, project budgeting capital fund and manag",DES - Facilities Management Division (FMD),3,Department of Executive Services (DES)
DES/FMD - Operations Unit,NA,BBEdit,DES - Facilities Management Division (FMD),3,Department of Executive Services (DES)
DES/FMD - Printshop,NA,Printshop for King County printing services.,DES - Facilities Management Division (FMD),3,Department of Executive Services (DES)
DES/FMD/BSS - Building Services Section,NA,NA,DES - Facilities Management Division (FMD),3,Department of Executive Services (DES)
DES/FMD/DO - Finance and Administrative Services Director's Office,NA,The Administrative Services office provides a variety of services to King County building tenants and the public.,DES - Facilities Management Division (FMD),3,Department of Executive Services (DES)
DES/FBO - Business Development & Contract Compliance,NA,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Business Process Stabilization Services,NA,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Director's Office,NA,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Financial Management Section (FMS),DES FBO FMS,Financial Management Administrative Section,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Payroll Systems and Operations (PSO),DES FBO PSO,"To provide employees and their families with timely, accurate, comprehensive and integrated Human Resource and Payroll programs.",DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Procurement & Payables Section (P&P),NA,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Treasury Operations Section (TO),DES FBO TO,"King County Treasury Operations is responsible for the management of the Countys investment portfolios, bonds and investments, production of property tax statements, and the collection of real estate and personal property taxes and distributions to the appraiser.",DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO - Web Reporting,NA,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
"DES/FBO/BPROS - Benefits, Payroll and Retirement Operations Section (BPROS)",DES FBO BPROS BPROS,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
DES/FBO/PSO - Payroll Systems Support & Development,NA,NA,DES - Finance & Business Operations Division (FBO),3,Department of Executive Services (DES)
Best Run Government,NA,NA,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES - Alternative Dispute Resolution (ADR),DES ADR,"In May 1998, King County and the King County Labor Council created a dispute resolution process that was made available to both local agencies and labor unions.  That consortium Group (ILCRG), now includes members from over 50 local agencies and 25 unions",DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Admin & Finance,NA,This group supports HRD and countywide HR administration.,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Career Support Services,NA,NA,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Compensation Classification Services,NA,Classification and Compensation for King County,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
"DES/HRD - Contract Services, District Court",NA,"Mission:  Partners in achieving employee and organization success.  Department Goals:  Provides high quality customer focused service; understands and embraces how they contribute to the Countys vision, mission and goals; fosters trust and respect in the",DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Employee Health and Well-Being,NA,"Mission:  Partners in achieving employee and organization success.  Department Goals:  Provides high quality customer focused service; understands and embraces how they contribute to the County''''s vision, mission and goals.",DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Employment Services,NA,NA,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Learning & Development,NA,NA,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Policy,NA,Administers the EEO investigations consultant pool and conducts EEO investigations regarding allegations of employment discrimination including harassment and retaliation.  Coordinates responses to formally filed discrimination complaints to human rights.,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Safety & Claims Management,NA,"Some of the services we provide include workplace safety, safety training, ergonomic evaluations, job placement, disability services, fire extinguisher maintenance and the processing of all worker compensation claims.",DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/HRD - Systems & Analytics,NA,NA,DES - Human Resources Division (HRD),3,Department of Executive Services (DES)
DES/OCR - Civil Rights Commission,NA,"To take a strong leadership role in raising community awareness and involvement on civil rights issues and to advise the King County Executive and County Council on matters related to the 
County''s civil rights programs.",DES - Office of Civil Rights (OCR),3,Department of Executive Services (DES)
"DES/RALS - Archives, Records Management, & Mail Services (ARMMS)",DES RALS ARMMS,"Archives, Records Management, and Mail Services (ARMMS) assists all county departments, as well as the County Council and Executive Office in managing their public records legally, efficiently, and with a commitment to preserving the history of the region.",DES - Records and Licensing Services Division (RALS),3,Department of Executive Services (DES)
DES/RALS - Licensing (L),NA,"For-hire/taxi driver, TNC licenses, and vehicle and vessel licenses.  Manages the King County General Information Line.",DES - Records and Licensing Services Division (RALS),3,Department of Executive Services (DES)
DES/RALS - Recorder's Office (R),NA,"Records real estate and miscellaneous documents; creates accurate indexes of recorded documents; creates and retains permmanent images; collects and distributes real estate excise taxes, provides search capabilities and copies of recorded documents.",DES - Records and Licensing Services Division (RALS),3,Department of Executive Services (DES)
DES/RALS - Regional Animal Services (RAS),DES RALS RAS,"Regional Animal Services of King County promotes and enforces the humane treatment of the animal population, encourages responsible pet ownership, protects the public and its property, and educates the public on its rights and responsibilities regardin",DES - Records and Licensing Services Division (RALS),3,Department of Executive Services (DES)
DES - Recovery Claims,NA,Recovery Claims,DES - Risk Management (RM),3,Department of Executive Services (DES)
DES/RM - Claims,NA,"Citizen Claims, Vehicle accidents, Transit Claims",DES - Risk Management (RM),3,Department of Executive Services (DES)
DES/RM - Contract Review/Self-Insurance Certification/Recovery,NA,"Insurance and Contract Matters, Recovery claims; Self-insurance",DES - Risk Management (RM),3,Department of Executive Services (DES)
DJA/CCCD - Audit Management,NA,"This unit processes court legal documents that resolve and complete cases.  Documents such as a decree, judgment and sentence or an order of dismissal are processed to complete the case.  Additionally, dispositive documents related to the closure of proba",DJA - Caseflow and Court Clerk Division (CCCD),3,Department of Judicial Administration (DJA)
DJA/CCCD - Caseflow,NA,To process documents into the King County Superior Court legal case files; notification to parties in the action according to Caseflow Management procedures; prepare and audit case files for hearings and perform data entry duties into various computer data,DJA - Caseflow and Court Clerk Division (CCCD),3,Department of Judicial Administration (DJA)
DJA/CCCD - Courtroom Clerks,NA,Department of Judicial Administration staff assigned to perform work in the courtroom.,DJA - Caseflow and Court Clerk Division (CCCD),3,Department of Judicial Administration (DJA)
DJA/CCCD - Exhibits,NA,Responsible for post-hearing tracking of exhibits (evidence) for Superior Court cases.,DJA - Caseflow and Court Clerk Division (CCCD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Accounting,NA,NA,DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Cashiers,NA,"File a legal court case,",DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Customer Services,NA,"Customer service provides assistance to parties filing Domestic Violence and Anti-Harassment cases, provides general information about Superior Court cases, performs records research, presents ExParte orders and process requests for certified copies via m",DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Disbursements,NA,"Disbursement section pays out court funds such as child support, restitution and civil awards.  The section also calculates payment amounts for witness fees and answers questions regarding availability of funds and account balances on legal financial obli",DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - ExParte Via the Clerk,NA,"Provide general direction and information to walk-in, phone-in and write-in customers.",DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Judgments,NA,"Enters all judgments pursuant to court orders, decrees, abstracts, and transcripts.",DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - LFO Collectors,NA,This section collects on court ordered legal financial obligations.,DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Records Access,NA,NA,DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA/CFSD - Working Copies,NA,NA,DJA - Customer and Financial Services Division (CFSD),3,Department of Judicial Administration (DJA)
DJA - Step-Up Program,NA,"The Crisis Line Phone Number:  (206) 461-3222. Domestic violence is a societal issue.  In the past, domestic violence has been mislabeled as a family matter.  Consequently, communities have played a minimal role in prevention and intervention.",DJA - Drug Diversion Court Program,3,Department of Judicial Administration (DJA)
DJA/MRJC - Case Management,NA,"This section of the RJC division is made-up of Electronic Document Processing (EDP), Case Processing and Court Clerks sections.  The EDP section is responsible for imaging documents for court records.  The Case Prossing section processes documents into SC",DJA - Regional Justice Center (RJC),3,Department of Judicial Administration (DJA)
DJA/MRJC - E-Services,NA,NA,DJA - Regional Justice Center (RJC),3,Department of Judicial Administration (DJA)
DJA/RJC - Customer Information & Assistance,NA,"Provides assistance to parties filing Domestic Violence and Anti-Harassment cases.  Also provides general information about Superior Court cases, performs records research, presents ExParte orders and process requests for certified copies via the mail.",DJA - Regional Justice Center (RJC),3,Department of Judicial Administration (DJA)
DNRP/PARKS - Administrative  & Financial Services,NA,"Budgeting; contracting; procurement; financial; human resources; payroll, AP/AR, risk management; WAN, LAN, GIS; and other related administrative services",DNRP - Parks and Recreation Division (PARKS),3,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS - Business Development,NA,"The Business Development & Partnerships Section includes the King County Park Systems Volunteer Coordinator, Public Affairs and Marketing and Economic Development staff.",DNRP - Parks and Recreation Division (PARKS),3,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS - Capital Improvement Program (CIP),DNRP PARKS CIP,"King County Parks' Capital Improvement Program (CIP) supports the acquisition, development, and rehabilitation of parks, trails and recreational facilities.",DNRP - Parks and Recreation Division (PARKS),3,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS - Capital Planning and Land Management,NA,NA,DNRP - Parks and Recreation Division (PARKS),3,Department of Natural Resources and Parks (DNRP)
DNRP/PARKS - Parks Operations Section,NA,"We enrich the health and welfare of the community by providing for the stewardship and professional maintenance of our facilities, natural resources, and park lands.",DNRP - Parks and Recreation Division (PARKS),3,Department of Natural Resources and Parks (DNRP)
DNRP/SWD - Enterprise Services (ES),DNRP SWD ES,"The Enterprise Services staff provide a variety of financial management and support services for the Division. Services we provide include payroll, contract technical support and oversight, procurement/stores, accounts payable, accounts receivable, operating and capital budget development and monitoring, economic forecasts and internal audit. The Finance Section also coordinates the delivery of information systems support to the Division, although the management of this function has moved to the Department.",DNRP - Solid Waste Division (SWD) - Director's Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/SWD - Facility Engineering & Science Unit (FESU),DNRP SWD FESU,"Engineering Services staff plan and manage the development of transfer facilities, new landfill areas and the closure of completed landfill areas at the Cedar Hills Regional Landfill. ESS performs facility inspections and provides engineering support for facility operations and maintenance directly, and through the management of associated contract services. Staff also provides environmental compliance monitoring and reporting. In collaboration with Operations, they ensure regulatory and permit compliance for all solid waste facilities. Specialized ESS staff manages hazardous materials and special waste including junk vehicle sites through the county.",DNRP - Solid Waste Division (SWD) - Director's Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/SWD - Human Resources (HR),DNRP SWD HR,"Provide consulting services to management and staff on employment, classification, compensation, leaves of absences and other  human resource issues.",DNRP - Solid Waste Division (SWD) - Director's Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/SWD - Operations (OS) - Cedar Hills,DNRP SWD OS,"Operations is comprised of several groups – transfer, transport, shop, landfill operations, and wastewater and landfill gas – that operate a transfer and disposal system that meets or exceeds the highest standards for protection of public health and the environment. Commercial garbage collection companies and residential and business self haulers bring waste to the transfer facilities, where it is loaded into large transfer trailers that are hauled to the Cedar Hills landfill for disposal. A network of environmental controls ensures that byproducts of the decomposing waste are captured and managed. Shop personnel keep equipment and vehicles running smoothly.",DNRP - Solid Waste Division (SWD) - Director's Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/SWD - Recycling and Environmental Services (RES),DNRP SWD RES,"Recycling and Environmental Services is a resource for food scrap recycling, household hazardous waste, green building, product stewardship, brownfields and contaminated sites, and other waste prevention and recycling topics. In addition to these programmatic functions.",DNRP - Solid Waste Division (SWD) - Director's Office,3,Department of Natural Resources and Parks (DNRP)
"DNRP/SWD - Strategy, Communications & Peformance (SC&P)",DNRP SWD SC,"Strategy, Communications and Performance provides and coordinates ongoing data analysis and evaluation, long-term strategic planning, and policy development for the division. SC&P is also responsible for internal and external communications and producing the Comprehensive Solid Waste Management Plan and the division’s annual report and rate studies.",DNRP - Solid Waste Division (SWD) - Director's Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/Wastewater Treatment Division (WTD) - Finance & Administration (FA),DNRP WTD FA,"Section includes:
Financial Services-WTD
Capacity Charge Program",DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Brightwater Operations,NA,Brightwater is the name for the new 36-mgd treatment plant and its associated conveyance facilities and marine outfall. The Brighwater Plant has been in operation since 2010 and is located in south Snohomish County.,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Environmental and Community Services Section (ECSS),DNRP WTD ECSS,"The Environmental and Community Services Section supports King County Wastewater Treatment Division's capital and operating programs by providing regulatory and environmental compliance, real estate and right-of-way services, community relations and industrial waste management services.",DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Human Resources,NA,Personnel and employment services.,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Local Agency Affairs,NA,NA,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Office of Sustainability and Innovation,NA,Sustatinabilty and Innovation Services,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Resource Recovery (RR) Section,DNRP WTD RR,Resource Recovery includes  Biosolids Management and Recycled Water.,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - Safety And Training,NA,NA,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - South Treatment Plant (STP),DNRP WTD STP,"South Treatment Plant is located in Renton, WA.  South Treatment Plant processes waste & storm water from the southern part of King County",DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD - West Point Treatment Plant (WP),DNRP WTD WP,"West Point Treatment Plant is located on Puget Sound, in the Magnolia neighborhood of Seattle. West Point Treatment Plant processes waste and storm water from the northern part of King County.",DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/Project Planning & Delivery Section,NA,"The Project Planning and Delivery Section oversees and manages wastewater system projects from conception to completion. This includes planning, engineering, contract management, implementation, and close-out of projects.",DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WTD/RTP - Special Projects,NA,NA,DNRP - Wastewater Treatment Division (WTD) Directors Office,3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Agriculture,NA,The Agriculture Program brings together the County's previous efforts to preserve prime agricultural soils (The Farmlands Preservation Program) with recent efforts to make agriculture more environmentally friendly.,DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Environmental Lab (LAB),DNRP WLRD LAB,"The Environmental Laboratory (Lab) provides quality field, laboratory, information, and advisory services in support of King County and other publicly-sponsored programs that protect and enhance water quality.
Field scientists collect samples from marine",DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Finance and Administration (FA),DNRP WLRD FA,"WLRD Finance and Administration provides a wide range of administrative and support services to the division, including:
Budget and finance support; Office support services for the WLR Division at King Street Center.",DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Forestry,NA,"King County Forestry Program focuses on the retention of forestland for its environmental, social, and economic benefits.  The Forestry Program provides education, technical assistance, and economic incentives at retaining the forest resources of King Cou",DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Human Resources,NA,Personnel Services,DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - River and Floodplain Management Section (RFMS),DNRP WLRD RFMS,"Directed by King County's Flood Hazard Management Plan, this group is responsible for carrying out programs and projects that reduce flood damages and protect public safety along the Cedar, Sammamish, White, Green, South Fork Skykomish, and Snoqualmie river systems.",DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Rural and Regional Services Section,NA,"Interlocal Watershed/Salmon Recovery Services, Hazardous Waste Management, Groundwater Program, Open Space Acquisitions Section, Ecological Services Unit, Noxious Weeds Program, Basin Stewardship Program.",DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Science and Technical Support Section,NA,Provides Water Quantity/Quality data and technical analyses.,DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD - Stormwater Services (SWS),DNRP WLRD SWS,"This section of the Water and Land Resources Division is responsible for coordinating the County''s compliance with state and federal stormwater management regulations that protect water quality and for implementing a variety of stormwater management programs integral to this compliance as well as to the protection of public safety and properties from stormwater runoff.  These programs include planning, mapping, design, construction, inspection, maintenance, and repair of stormwater facilities; investigation of reported drainage and water quality problems; water quality code compliance; enforcement to address surface water hazards; updates of stormwater facility design standards; public education; response to rate payer requests for adjustment of surface water fees; stormwater emergency response; and general technical assistance related to all of these programs.",DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DNRP/WLRD/ - Incentives,NA,NA,DNRP - Water and Land Resources Division (WLRD),3,Department of Natural Resources and Parks (DNRP)
DPH/CHSD - Auburn Public Heath Center,NA,Provides a range of health services to individuals and families.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Columbia Health Center,NA,Provides a range of health services to individuals and families.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Downtown Public Health Center,NA,NA,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Eastgate Public Health Center,NA,Provides a range of health services to individuals and families.  Call for more information.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Federal Way Public Health Center,NA,Provides a range of health services to individuals and families.  Call for more information.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Health Care for the Homeless Network,NA,NA,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Kent Public Health Center,NA,Provides a range of health services to individuals and families. See website below for more information.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Kent Teen Clinic,NA,NA,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - North Seattle Public Health Center,NA,Provides a range of health services to individuals and families.  Call for more information.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Northshore Public Health Center,NA,Provides a range of health services to individuals and families. Call for more information.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Parent/Child Health Program (PCH),DPH CHSD PCH,.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Renton Public Health Center,NA,Provides a range of health services to individuals and families including basic health and dental health. See details in web address below.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - Renton Public Health Dental Clinic,NA,NA,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - School Age Health Program,NA,Promotes the health and learning readiness of school-age youth by supporting health promotion efforts and assuring access to quality coordinated health and prevention services.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/CHSD - White Center Public Health Center,NA,Provides a range of health services to individuals and families. Call for more information or visit website below for service details.,DPH - Community Health Services Division (CHSD),3,Department of Public Health (DPH)
DPH/EMS - King County Medic One (M1),NA,"King County Medic One is a public service organization, a critical link in our regional Emergency Medical Service system, providing high quality, advanced patient care.",DPH - Emergency Medical Services Division (EMS),3,Department of Public Health (DPH)
DPH/PS - Business Standards and Accountability,NA,"The Center for the Evaluation of Emergency Medical Services (CEEMS), is a collaborative undertaking of the King County Emergency Medical Services Division and the University of Washington. The goal of CEEMS is to study pre-hospital emergencies",DPH - Emergency Medical Services Division (EMS),3,Department of Public Health (DPH)
DPH/EHD - Community Environmental Health Services / Eastgate,NA,"Services provided include plumbing and gas piping permits; 
on-site septic system installation permits, applications, 
building permits, operational checks, installer certification, Sewer and Wastewater Review Boards; and private well inspection and certi",DPH - Environmental Health Services Division (EHD),3,Department of Public Health (DPH)
DPH/EHD - Eastgate Environmental Health Services,NA,"Eastgate Environmental Health offers the following services: School inspections, water recreation permits, drinking water program for private wells, plumbing and gas piping permits and wastewater permits.",DPH - Environmental Health Services Division (EHD),3,Department of Public Health (DPH)
DPH/EHD - Environmental Hazards,NA,"Staff work with State agencies regarding public exposure to lead, asbestos, formaldehyde, carbon monoxide, chemical spills, pesticides, and non-ionizing electromagnetic radiation, illegal drug labs, and noise.",DPH - Environmental Health Services Division (EHD),3,Department of Public Health (DPH)
DPH/EHD - Environmental Health General Administration,NA,Provides administrative support to the Environmental Health Division (EHD).,DPH - Environmental Health Services Division (EHD),3,Department of Public Health (DPH)
DPH/EHD - Food & Facilities Environmental Health Services,NA,The Public Health Food Protection Program promotes healthy people and healthy communities through education and regulation of food service establishments.,DPH - Environmental Health Services Division (EHD),3,Department of Public Health (DPH)
DPH/FASD - Accounting Services,NA,Provides financial services for Public Health.,DPH - Finance and Administrative Services Division (FASD),3,Department of Public Health (DPH)
