DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
Grant County Airport District No. 1,1,Clear Air,active,Grant,Grant,NA,NA,NA
Grant County Cemetery District No. 3,3,Cemetery,active,Grant,Grant,Hartline,NA,NA
Grant County Cemetery District No. 4,4,Cemetery,active,Grant,Grant,Warden,NA,NA
Grant County Cemetery District No. 5,5,Cemetery,active,Grant,Grant,Royal City,NA,NA
Grant County Emergency Services Communications District,NA,NA,disposition unknown,Grant,Grant,NA,NA,NA
Grant County Fire Protection District No. 10,10,Fire Protection,active,Grant,Grant,Royal City,Royal Slope,NA
Grant County Fire Protection District No. 11,11,Fire Protection,active,Grant,Grant,NA,East Royal Slope,NA
Grant County Fire Protection District No. 12,12,Fire Protection,active,Grant,Grant,"Krupp (Marlin), Wilson Creek","Stratford, Wilson Creek, Marlin",NA
Grant County Fire Protection District No. 13,13,Fire Protection,active,Grant,Grant,NA,Ephrata,NA
Grant County Fire Protection District No. 14,14,Fire Protection,active,Grant,Grant,NA,NA,NA
Grant County Fire Protection District No. 15,15,Fire Protection,active,Grant,Grant,NA,Moses Lake,NA
Grant County Fire Protection District No. 3,3,Fire Protection,active,Grant,Grant,George,Quincy (1942),NA
Grant County Fire Protection District No. 4,4,Fire Protection,active,Grant,Grant,Warden,Warden,NA
Grant County Fire Protection District No. 5,5,Fire Protection,active,Grant,Grant,NA,Moses Lake,NA
Grant County Fire Protection District No. 6,6,Fire Protection,active,Grant,Grant,NA,Hartline,NA
Grant County Fire Protection District No. 7,7,Fire Protection,active,Grant,Grant,NA,Soap Lake,NA
Grant County Fire Protection District No. 8,8,Fire Protection,active,Grant,Grant,NA,NA,NA
Grant County Health District,NA,Health,active,Grant,Grant,NA,NA,NA
Grant County Mosquito Control District No. 1,1,Mosquito Control,active,Grant,Grant,Moses Lake,NA,NA
"Grant County Park and Recreation District No. 1 , Airport Park and Recreation District",1,Clear Air,disposition unknown,Grant,Grant,Moses Lake (part),NA,NA
"Grant County Park and Recreation District No. 2, Pelican Point Park and Recreation District  ",2,Parks,active,Grant,Grant,NA,Disposition  unknown,NA
Grant County Port District No. 1,1,Port,active,Grant,Grant,"George, Quincy",Port of Quincy,NA
Grant County Port District No. 10,10,Port,active,Grant,Grant,Moses Lake,Port of Moses Lake,NA
Grant County Port District No. 2,2,Port,active,Grant,Grant,Royal City,Port of Royal Slope,NA
Grant County Port District No. 3,3,Port,active,Grant,Grant,Mattawa,Port of Mattawa,NA
Grant County Port District No. 4,4,Port,active,Grant,Grant,Coulee City,Coulee City,NA
Grant County Port District No. 5,5,Port,active,Grant,Grant,Hartline,Hartline,NA
Grant County Port District No. 6,6,Port,active,Grant,Grant,"Krupp, Wilson Creek",Wilson Creek,NA
Grant County Port District No. 7,7,Port,active,Grant,Grant,"Coulee Dam, Electric City, Grand Coulee",Grand Coulee,NA
Grant County Port District No. 8 ,8,Port,active,Grant,Grant,Warden,Port of Warden,NA
Grant County Port District No. 9,9,Port,active,Grant,Grant,"Ephrata,",Port of Ephrata,Airport management
Grant County Public Hospital District No. 1,1,Hospital,active,Grant,Grant,"Moses Lake, Warden",dba Samaritan Healthcare (Moses Lake),NA
Grant County Public Hospital District No. 2,2,Hospital,active,Grant,Grant,"George, Quincy",NA,NA
Grant County Public Hospital District No. 3,3,Hospital,active,Grant,Grant,Ephrata,NA,NA
Grant County Public Hospital District No. 4,4,Hospital,active,Grant,Grant,"Coulee City, Krupp, Soap Lake, Wilson Creek",NA,NA
Grant County Public Hospital District No. 5,5,Hospital,active,Grant,Grant,Mattawa,dba Mattawa Community Medical Clinic,NA
Grant County Public Hospital District No. 7,7,Hospital,active,Grant,Grant,Royal City,NA,NA
Grant County Public Utility District No. 2,2,Public Utility,active,Grant,Grant,"Coulee City, Coulee Dam, Electric City, Ephrata, George, Grand Coulee, Hartline, Krupp, Mattawa, Moses Lake, Quincy, Royal City, Soap Lake, Warden, Wilson Creek",NA,NA
Grant County Transit Authority,NA,Transportation,active,Grant,Grant,"Coulee City, Electric City, Ephrata, George, Grand Coulee,  Hartline, Krupp, Mattawa, Moses Lake, Quincy, Soap Lake,  Warden, Wilson Creek",Grant County Unincorporated Public Transportation Benefit Area,NA
Grant County Weed District No. 1,1,Weed Control,active,Grant,Grant,NA,NA,NA
Grant County Weed District No. 3,3,Weed Control,active,Grant,Grant,NA,George,NA
Grant County Weed District No. 51A,51,Weed Control,active,Grant,Grant,NA,Warden,NA
Grant County Weed District No. 52A,52,Weed Control,active,Grant,Grant,NA,Royal Slope,NA
Grapeview School District No. 54,54,School,active,Mason,Mason,NA,NA,NA
Grays Harbor Conservation District,NA,Conservation,active,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Cemetery District No. 1,1,Cemetery,active,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Drainage District No. 1,1,Drainage,active,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Drainage District No. 2,2,Drainage,active,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Drainage District No. 6,6,Drainage,active,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Fire District No. 14,14,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Markham/Ocosta/Bay City,NA
Grays Harbor County Fire District No. 6,6,Fire Protection,active,Grays Harbor,Grays Harbor,NA,North Hoquiam,NA
Grays Harbor County Fire Protection District No. 1,1,Fire Protection,active,Grays Harbor,Grays Harbor,Oakville,NA,NA
Grays Harbor County Fire Protection District No. 10,10,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Wishkah Fire Department,NA
Grays Harbor County Fire Protection District No. 11,11,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Grayland,NA
Grays Harbor County Fire Protection District No. 12,12,Fire Protection,active,Grays Harbor,Grays Harbor,NA,NA,Service provided by McCleary
Grays Harbor County Fire Protection District No. 15,15,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Artic,NA
Grays Harbor County Fire Protection District No. 16,16,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Copalis Crossing,NA
Grays Harbor County Fire Protection District No. 17,17,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Humptulips/Axford,NA
Grays Harbor County Fire Protection District No. 2,2,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Brady/Central Park/Wynoochee/Outlying Montesano Area (1949),NA
Grays Harbor County Fire Protection District No. 3,3,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Westport,NA
Grays Harbor County Fire Protection District No. 4,4,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Quinault/Amanda Park/Neilton,NA
Grays Harbor County Fire Protection District No. 5,5,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Porter/Elma/Satsop,NA
Grays Harbor County Fire Protection District No. 7,7,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Copalis Beach/Ocean City,NA
Grays Harbor County Fire Protection District No. 8,8,Fire Protection,active,Grays Harbor,Grays Harbor,NA,Pacific Beach,NA
Grays Harbor County Public Hospital District No. 1,1,Hospital,active,Grays Harbor,Grays Harbor,"Elma, McCleary",Mark Reed Hospital,NA
Grays Harbor County Sewer District No. 1,1,Sewer,disposition unknown,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Sewer District No. 6,6,Sewer,disposition unknown,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Water District No. 1 (1941),1,Water,active,Grays Harbor,Grays Harbor,NA,NA,District acquired the Grayland Water Company
Grays Harbor County Water District No. 2 (1942),2,Water,active,Grays Harbor,Grays Harbor,NA,NA,District serves citizens in the Central Park area. The
Grays Harbor County Water District No. 5,5,Water,dissolved,Grays Harbor,Grays Harbor,NA,NA,Dissolved by Grays Harbor County Ordinance No. 179
Grays Harbor County Water District No. 6,6,Water,active,Grays Harbor,Grays Harbor,NA,NA,NA
Grays Harbor County Water District No. 7,7,Water,dissolved,Grays Harbor,Grays Harbor,NA,NA,Dissolved 1999. Assumed by Grays Harbor County under the name of Pacific Beach/ Moclips Water System
Grays Harbor Public Facilities District,NA,Public Facilities,active,Grays Harbor,Grays Harbor,NA,Ocean Shores Convention Center,NA
Grays Harbor Transportation Authority (County Transit Authority),NA,Transportation,active,Grays Harbor,Grays Harbor,"Aberdeen, Cosmopolis,  Elma, Hoquiam, McCleary, Montesano, Oakville, Ocean Shores, Westport",NA,NA
Grays River Habitat Enhancement District,NA,NA,active,Wahkiakum,Wahkiakum,NA,Formerly called Upper Grays River Flood Control District,"Grays River area, Renamed by Wahkiakim County Resolution 2004-01"
Great Northern School District No. 312,312,School,active,Spokane,Spokane,Airway Heights,NA,NA
Greater Clark Parks District (2005),NA,Parks,active,Clark,Clark,NA,NA,Metropolitan Park District
Greater Spokane Valley Library Capital Facilities Area,NA,Library,active,Spokane,Spokane,NA,Not created,Unsuccessful vote March 2008
Greater Tacoma Regional Convention Center Public Facilities District,NA,Public Facilities,active,Pierce,Pierce,"Fife, Tacoma, Lakewood, University Place",NA,NA
Greater Vancouver Library Capital Facilities District,NA,Library,active,Clark,Clark,NA,NA,NA
Greater Wenatchee Irrigation District,NA,Irrigation,active,Douglas,Douglas,NA,NA,NA
Greater Wenatchee Public Facilities District,NA,Public Facilities,active,Chelan,Chelan,"Wenatchee, East Wenatchee, Chelan, Cashmere, Entiat, and Rock Island, and  Waterville",NA,NA
Green Mountain School District No. 103,103,School,active,Clark,Clark,NA,NA,NA
Green Tank Irrigation District No. 11,11,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Griffin School District No. 324,324,School,active,Thurston,Thurston,NA,NA,NA
Hangman Hills Water District No. 15,15,Water,active,Spokane,Spokane,NA,NA,NA
Harrington School District No. 204,204,School,active,Lincoln,Lincoln,Harrington,NA,NA
Harstene Pointe Water-Sewer District (2008),NA,Water,active,Mason,Mason,NA,NA,Includes all lands currently within Hartstene Pointe and Hartstene Pointe Addition 1-10 as platted.
Helensdale Irrigation District,NA,Irrigation,active,Okanogan,Okanogan,NA,NA,Also called Helensdale Reclamation District
Highland Irrigation District,NA,Irrigation,active,Clallam,Clallam,NA,NA,NA
Highland School District No. 203,203,School,active,Yakima,Yakima,Tieton,NA,NA
Highland Water District (1998),NA,Water,active,Snohomish,Snohomish,NA,NA,NA
Highlands Sewer District (1968),NA,Sewer,active,King,King,NA,NA,"Serves ""The Highlands"" 
residential community within the city of Shoreline"
Highline School District No. 401,401,School,active,King,King,NA,NA,NA
Highline Water District (Formerly King County Water District No.  No. 75) (1946),75,Water,active,King,King,NA,NA,"Serves parts of Burien, Des Moines, Federal Way, Kent, Normandy Park, SeaTac, Tukwila"
Hockinson School District No. 98,98,School,active,Clark,Clark,NA,NA,NA
Holmes Harbor Sewer District (1976),NA,Sewer,active,Island,Island,NA,NA,NA
Home Valley Water District No. 1 (1980),1,Water,active,Skamania,Skamania,NA,NA,The community of Home Valley is approximately eight miles east of the City of Stevenson.
Hood Canal School District No. 404,404,School,active,Mason,Mason,NA,NA,NA
Hopkins Drainage District No. 2,2,Drainage,disposition unknown,Thurston,Thurston,NA,NA,NA
Hoquiam School District No. 28,28,School,active,Grays Harbor,Grays Harbor,Hoquiam,NA,NA
Housing Authority City of Kennewick,NA,Housing Authority,active,Benton,Benton,Kennewick,NA,NA
Housing Authority of Asotin County,NA,Housing Authority,active,Asotin,Asotin,NA,NA,NA
Housing Authority of Brewster (1990),NA,Housing Authority,active,Okanogan,Okanogan,Brewster,NA,NA
Housing Authority of Chelan County and the City of Wenatchee,NA,Housing Authority,active,Chelan,Chelan,Wenatchee,NA,NA
Housing Authority of Grant County,NA,Housing Authority,active,Grant,Grant,NA,NA,NA
Housing Authority of Grays Harbor County,NA,Housing Authority,active,Grays Harbor,Grays Harbor,NA,NA,NA
Housing Authority of Island County,NA,Housing Authority,active,Island,Island,NA,NA,NA
Housing Authority of Jefferson County,NA,Housing Authority,active,Jefferson,Jefferson,NA,NA,NA
Housing Authority of Kittitas County,NA,Housing Authority,active,Kittitas,Kittitas,NA,NA,NA
Housing Authority of Mason County,NA,Housing Authority,active,Mason,Mason,NA,NA,NA
Housing Authority of Okanogan County,NA,Housing Authority,active,Okanogan,Okanogan,NA,NA,NA
Housing Authority of Skagit County,NA,Housing Authority,active,Skagit,Skagit,NA,NA,NA
Housing Authority of Snohomish County,NA,Housing Authority,active,Snohomish,Snohomish,NA,NA,NA
Housing Authority of the City of Bremerton,NA,Housing Authority,active,Kitsap,Kitsap,Bremerton,NA,NA
Housing Authority of the City of Everett,NA,Housing Authority,active,Snohomish,Snohomish,NA,NA,NA
Housing Authority of the City of Kalama,NA,Housing Authority,active,Cowlitz,Cowlitz,Kalama,NA,NA
Housing Authority of the City of Kelso,NA,Housing Authority,active,Cowlitz,Cowlitz,Kelso,NA,NA
Housing Authority of the City of Longview,NA,Housing Authority,active,Cowlitz,Cowlitz,Longview,NA,NA
Housing Authority of the City of Othello,NA,Housing Authority,active,Adams,Adams,Othello,NA,NA
Housing Authority of the City of Pasco and Franklin County,NA,Housing Authority,active,Franklin,Franklin,Pasco,NA,NA
Housing Authority of the City of Renton,NA,Housing Authority,active,King,King,Renton,NA,NA
Housing Authority of the City of Seattle,NA,Housing Authority,active,King,King,NA,NA,NA
Housing Authority of the City of Sedro-Woolley,NA,Housing Authority,active,Skagit,Skagit,NA,NA,NA
Housing Authority of the City of Tacoma,NA,Housing Authority,active,Pierce,Pierce,NA,NA,NA
Housing Authority of the City of Vancouver,NA,Housing Authority,active,Clark,Clark,Vancouver,NA,NA
Housing Authority of the City of Yakima,NA,Housing Authority,active,Yakima,Yakima,NA,NA,NA
Housing Authority of the County of Clallam,NA,Housing Authority,active,Clallam,Clallam,NA,NA,NA
Housing Authority of the County of King,NA,Housing Authority,active,King,King,NA,NA,NA
Housing Authority of Thurston County,NA,Housing Authority,active,Thurston,Thurston,NA,NA,NA
Housing Authority of Walla Walla County,NA,Housing Authority,active,Walla Walla,Walla Walla,NA,NA,NA
Hunters Water District,NA,Water,active,Stevens,Stevens,NA,NA,NA
Hutchinson Irrigation District No. 16,16,Irrigation,active,Spokane,Spokane,NA,NA,NA
Hydro Irrigation District No. 9,9,Irrigation,active,Walla Walla,Walla Walla,NA,NA,NA
Hylebos Flood Control Zone District,NA,Flood Control,dissolved,Pierce,Pierce,NA,NA,Dissolved by Pierce County Ordinance No. 2006-113
Icicle Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Inchelium School District No. 70,70,School,active,Ferry,Ferry,NA,NA,NA
Inchelium Water District,NA,Water,active,Ferry,Ferry,NA,NA,Water and sewer services
Index School District No. 63,63,School,active,Snohomish,Snohomish,Index,NA,NA
Intercity Transit,NA,Transportation,active,Thurston,Thurston,"Lacey, Tumwater, Olympia, and Yelm",Thurston County Public Transportation Benefit Area (1981),NA
Irvin Water District No. 6,6,Water,active,Spokane,Spokane,NA,NA,NA
Isenhart Irrigation District,NA,Irrigation,active,Chelan,Chelan,NA,NA,NA
Island County Cemetery District No. 1,1,Cemetery,active,Island,Island,Oak Harbor,NA,NA
Island County Cemetery District No. 2,2,Cemetery,active,Island,Island,Coupeville,NA,NA
Island County Diking District No. 1,1,Dikes,active,Island,Island,NA,NA,NA
Island County Diking District No. 2,2,Dikes,active,Island,Island,NA,NA,NA
Island County Diking District No. 3,3,Dikes,active,Island,Island,NA,NA,NA
Island County Diking District No. 4 ,4,Dikes,inactive,Island,Island,NA,NA,NA
Island County Drainage District No. 5,5,Drainage,active,Island,Island,NA,NA,NA
Island County Drainage District No. 6,6,Drainage,active,Island,Island,NA,NA,NA
Island County Drainage District No. 7,7,Drainage,inactive,Island,Island,NA,NA,NA
Island County Drainage District No. 8,8,Drainage,active,Island,Island,NA,NA,NA
Island County Fire Protection District No. 1,1,Fire Protection,active,Island,Island,NA,Camano Fire and Rescue,"On January 2, 1993, Island County Fire Districts No. 1, No. 4, and No. 6 merged to form Camano Island Fire and Rescue"
Island County Fire Protection District No. 5,5,Fire Protection,active,Island,Island,Coupeville,NA,NA
Island County Public Transportation Benefit Area ,NA,Transportation,active,Island,Island,"Coupeville, Langley, Oak Harbor  ",Island Transit,NA
Issaquah Library Capital Facilities Area,NA,Library,active,King,King,Issaquah,NA,NA
Issaquah School District No. 411,411,School,active,King,King,"Part Bellevue, Issaquah, part Newcastle, part Renton, part Sammamish",NA,NA
Jefferson County Cemetery District No. 1,1,Cemetery,active,Jefferson,Jefferson,NA,NA,NA
Jefferson County Cemetery District No. 2,2,Cemetery,active,Jefferson,Jefferson,NA,NA,NA
Jefferson County Cemetery District No. 3 (2006),3,Cemetery,active,Jefferson,Jefferson,NA,NA,"Formed by Resolution No. 83-06, 12-06"
Jefferson County Conservation District,NA,Conservation,active,Jefferson,Jefferson,NA,NA,NA
Jefferson County Fire District No. 7,7,Fire Protection,active,Jefferson,Jefferson,NA,Clearwater,NA
Jefferson County Fire Protection District No. 1,1,Fire Protection,active,Jefferson,Jefferson,NA,Chimacum/Port Hadlock/Irondale/Marrowstone Island,"Jefferson Fire District No. 6 merged with Fire District No. 1, 2005 - Jointly operating as East Jefferson Fire and Rescue - Joint operation with Port Townsend"
Jefferson County Fire Protection District No. 2,2,Fire Protection,active,Jefferson,Jefferson,NA,Quilcene,NA
Jefferson County Fire Protection District No. 3,3,Fire Protection,active,Jefferson,Jefferson,NA,Port Ludlow Fire and Rescue,NA
Jefferson County Fire Protection District No. 4,4,Fire Protection,active,Jefferson,Jefferson,NA,Brinnon,NA
Jefferson County Fire Protection District No. 5- Discovery Bay,5,Fire Protection,active,Jefferson,Jefferson,NA,Gardiner,NA
Jefferson County Fire Protection District No. 6,6,Fire Protection,active,Jefferson,Jefferson,NA,Cape George/Kala Point/Beckette Point,"Merged with Fire District No. 1, 2005 - Jointly operating as East Jefferson Fire and Rescue - Joint operation with Port Townsend"
Jefferson County Park and Recreation District No. 1,1,Parks,active,Jefferson,Jefferson,NA,Coyle/Thorndyke (1984),NA
Jefferson County Park and Recreation District No. 2 ,2,Parks,active,Jefferson,Jefferson,NA,Brinnon (11/06/2012),NA
Jefferson County Public Hospital District No. 1,1,Hospital,active,Jefferson,Jefferson,NA,NA,NA
Jefferson County Public Hospital District No. 2 ,2,Hospital,active,Jefferson,Jefferson,Port Townsend,dba Jefferson Healthcare,Jefferson General Hospital
Jefferson County Public Transportation Benefit Area,NA,Transportation,active,Jefferson,Jefferson,NA,Jefferson Transit,NA
Jefferson County Rural Library District,NA,Library,active,Jefferson,Jefferson,NA,Jefferson County Library,NA
Jefferson County Water District No. 1,1,Water,active,Jefferson,Jefferson,NA,Paradise Bay,NA
Jefferson County Water District No. 2,2,Water,active,Jefferson,Jefferson,NA,Brinnon,NA
Jefferson County Water District No. 3,3,Water,active,Jefferson,Jefferson,NA,Coyle,NA
Joint City of Republic-Ferry County Housing Authority,NA,Housing Authority,active,Ferry,Ferry,Republic,NA,NA
Joint Grant County Public Hospital District No. 6,6,Hospital,active,Douglas,"Douglas, Grant, Lincoln,, Okanogan","Coulee Dam, Electric City, Grand Coulee, Hartline
Coulee Dam, Hartline
 Elmer City, Nespelem",Coulee Medical Center,NA
Juniper Beach Water District (1990),NA,Water,active,Island,Island,NA,NA,Located in a small community on Camano Island at the north end of Port Susan
Kahlotus School District No. 56,56,School,active,Franklin,Franklin,Kahlotus,NA,NA
Kalama School District No. 402,402,School,active,Cowlitz,Cowlitz,Kalama,NA,NA
Kapowsin Water District,NA,Water,active,Pierce,Pierce,NA,NA,NA
Karcher Creek Sewer District No. 5 (1947),5,Sewer,consolidated,Kitsap,Kitsap,NA,NA,Formed as Kitsap County Sewer District No. 5. Consolidated with Annapolis Water District to form West Sound Utility District November 2007.
Keller School District No. 3,3,School,active,Ferry,Ferry,NA,NA,NA
Kelso School District No. 458,458,School,active,Cowlitz,Cowlitz,"Kelso, part Longview",NA,NA
Kelso Transportation Benefit District,NA,Transportation,active,Cowlitz,Cowlitz,Kelso,NA,NA
Kenmore Transportation Benefit District (2012),NA,Transportation,active,King,King,Kenmore,NA,NA
Kennewick City Housing Authority,NA,Housing Authority,active,Benton,Benton,NA,NA,NA
Kennewick Irrigation District,NA,Irrigation,active,Benton,Benton,NA,NA,South Central Benton County
Kennewick Public Facilities District,NA,Public Facilities,active,Benton,Benton,Kennewick,NA,NA
Kennewick Public Hospital District No. 1,1,Hospital,active,Benton,Benton,Kennewick,dba Kennewick General Hospital,NA
Kennewick School District No. 17,17,School,active,Benton,Benton,"Part Kennewick, part Richland",NA,NA
Kent Fire Department Regional Fire Authority,NA,Fire Protection,active,King,King,"Kent, Covington included at formation",NA,"Kent and King County FPD No. 37 (Covington annexed), effective 07/01/10"
Kent School District No. 415,415,School,active,King,King,"Part Auburn, part  Black Diamond, part Kent, part Maple Valley, part Renton, part SeaTac, Covington",NA,NA
Kent Special Events Center Public Facilities District,NA,Public Facilities,active,King,King,Kent,NA,NA
Kettle Falls School District No. 212,212,School,active,Stevens,Stevens,"Kettle Falls, Marcus",NA,NA
Key Peninsula Metropolitan Park District (2004),NA,Parks,active,Pierce,Pierce,NA,NA,NA
Key Peninsula Park and Recreation District,NA,Parks,dissolved,Pierce,Pierce,NA,NA,Reformed as Key Peninsula Metropolitan Park District
King Conservation District,NA,Conservation,active,King,King,NA,NA,"King county and incorporated cities except Federal Way, Enumclaw, Skykomish, Milton and Pacific"
King County Airport District No. 1 ,1,Clear Air,active,King,King,NA,Vashon Island,NA
King County Cemetery District No. 1,1,Cemetery,active,King,King,NA,Vashon and Maury Islands,NA
King County Drainage District No. 1,1,Drainage,active,King,King,NA,NA,Green River Valley floor east of river
King County Drainage District No. 13,13,Drainage,active,King,King,NA,NA,Farm area north of Enumclaw
King County Drainage District No. 2,2,Drainage,active,King,King,NA,NA,Military Road - Green River
King County Drainage District No. 5,5,Drainage,active,King,King,NA,NA,NA
King County Drainage District No. 6,6,Drainage,active,King,King,NA,NA,King County Drainage District #6 - Enumclaw south
King County Drainage District No. 7,7,Drainage,active,King,King,NA,NA,Farmland joining Cherry Creek at Duvall
King County Ferry District,NA,NA,active,King,King,NA,NA,NA
King County Fire District No. 26,26,Fire Protection,active,King,King,Des Moines,Des Moines,"Merged with Federal Way Fire Department to become South King County Fire and Rescue (Fire District 39); Des Moines Annexed to Fire District No. 26, effective 01/2006"
King County Fire District No. 37,37,Fire Protection,active,King,King,Covington,East Kent area and Covington,Merged into Kent Fire Department Regional Fire Authority as of 07/2010
King County Fire Protection District No. 10,10,Fire Protection,active,King,King,Carnation,Eastside Fire and Rescue,NA
King County Fire Protection District No. 13,13,Fire Protection,active,King,King,NA,Vashon Island Fire and Rescue,NA
King County Fire Protection District No. 14,14,Fire Protection,active,King,King,NA,Bellevue,NA
King County Fire Protection District No. 16,16,Fire Protection,active,King,King,Lake Forest Park,Northshore Fire Department (1948),NA
King County Fire Protection District No. 17,17,Fire Protection,active,King,King,NA,Black Diamond,"Merged with King County Fire District No. 44, Election 05/2008"
King County Fire Protection District No. 2,2,Fire Protection,active,King,King,Burien and  Normandy Park,Burien/Normandy Park Fire Department,NA
King County Fire Protection District No. 20 ,20,Fire Protection,active,King,King,NA,Skyway/Bryn Mawr/Lakeridge area,NA
King County Fire Protection District No. 24,24,Fire Protection,annexed,King,King,NA,NA,NA
King County Fire Protection District No. 25,25,Fire Protection,active,King,King,NA,Renton,NA
King County Fire Protection District No. 27,27,Fire Protection,active,King,King,NA,Fall City,NA
King County Fire Protection District No. 28,28,Fire Protection,active,King,King,"Enumclaw , election 11/2010",Enumclaw,NA
King County Fire Protection District No. 31,31,Fire Protection,active,King,King,NA,NA,NA
King County Fire Protection District No. 34,34,Fire Protection,active,King,King,NA,NA,NA
"King County Fire Protection District No. 38, North Bend/Snoqualmie",38,Fire Protection,active,King,King,NA,NA,NA
King County Fire Protection District No. 39,39,Fire Protection,active,King,King,Des Moines and Federal Way,Now called South King County Fire and Rescue,"Federal Way and Des Moines annexed and merger of Fire District No. 26, 2005. Prior to No. 26, merger district was called Federal Way Fire Department: merger of No. 22, 30, 32 and 26"
King County Fire Protection District No. 40,40,Fire Protection,active,King,King,NA,Spring Glen,South of Renton
King County Fire Protection District No. 41,41,Fire Protection,active,King,King,NA,NA,Area around Kirkland
King County Fire Protection District No. 43 Maple Valley Fire and Life Safety (1952),43,Fire Protection,active,King,King,Maple Valley,NA,NA
King County Fire Protection District No. 44 South King County,44,Fire Protection,active,King,King,NA,Mountain View Fire and Rescue,Service to Black Diamond. King County Fire District No. 17 Merged with King County Fire District No. 44
King County Fire Protection District No. 45- Duvall Fire,45,Fire Protection,active,King,King,Duvall,NA,The communities of Lake Margaret and Lake Marcel
King County Fire Protection District No. 47,47,Fire Protection,active,King,King,NA,NA,"Rural southeast King County Selleck, Palmer and Kanaskat"
King County Fire Protection District No. 49,49,Fire Protection,active,King,King,NA,NA,Snoqualmie Pass and vicinity King County Fire District No. 49 - Snoqualmie Pass and vicinity (1971) and Kittitas Fire District No. 5 (1971) merged into King Fire District No. 51 renamed Snoqualmie Pass Fire and Rescue in 1992
King County Fire Protection District No. 50,50,Fire Protection,active,King,King,Skykomish,NA,Skykomish/Stevens Pass
King County Flood Control Zone District dba King County Flood Control District (2007),NA,Flood Control,active,King,King,County-Wide,NA,NA
King County FPD 51 and Kittitas County (FPD 5) Fire Protection District No. 51,51,Fire Protection,active,King,"King, Kittitas",NA,Snoqualmie  Pass Fire and Rescue,NA
King County Public Hospital District No. 1,1,Hospital,active,King,King,"Black Diamond, Renton, Auburn (part)",Valley Medical Center,NA
King County Public Hospital District No. 2,2,Hospital,active,King,King,"Bothell, Kenmore, Kirkland, Sammamish",dba Evergreen Healthcare,NA
King County Public Hospital District No. 4,4,Hospital,active,King,King,"Carnation, North Bend, Snoqualmie",Snoqualmie Valley Hospital District,NA
King County Rural Library District,NA,Library,active,King,King,"Algona, Auburn, Beaux Arts Village, Bellevue, Black Diamond, Bothell, Burien, Carnation, Clyde Hill, Covington, Des Moines, Duvall, Enumclaw (effective 06/12) Federal Way, Issaquah, Kenmore, Kent, Kirkland, Lake Forest Park, Maple Valley, Medina, Mercer Island, Newcastle, Normandy Park, North Bend, Pacific, Redmond, Renton (2010), Sammamish, SeaTac, Shoreline, Skykomish, Snoqualmie, Tukwila, Woodinville",NA,NA
King County Transportation Benefit District (2011),NA,Transportation,active,King,King,NA,NA,NA
King County Water District No. 1,1,Water,active,King,King,NA,NA,"North end of City of Yarrow Point, Bellevue to eventually take over district"
King County Water District No. 111,111,Water,active,King,King,NA,NA,"Formed in the 1960's to provide water primarily to area surrounding Lake Meridian, east of the City of Kent."
King County Water District No. 117,117,Water,active,King,King,NA,Hilltop Community,NA
King County Water District No. 119 (1965),119,Water,active,King,King,NA,NA,"The district now provides water service from Stillwater in the south, and stretching north to the King/Snohomish County line in the area immediately east of Duvall."
King County Water District No. 123,123,Water,active,King,King,NA,Preston,NA
King County Water District No. 125,125,Water,active,King,King,NA,Riverton Heights,"Service area includes Burien, SeaTac, Tukwila"
King County Water District No. 17,17,Water,active,King,King,NA,Hunts Point,"Assumed by Bellevue November 1, 1998"
King County Water District No. 19,19,Water,active,King,King,NA,Vashon (1925),NA
King County Water District No. 20 (1925),20,Water,active,King,King,NA,NA,"Service area  includes portions of Burien, SeaTac, Seattle, Tukwila.  Merger of Districts No. 85 and No. 20"
King County Water District No. 45,45,Water,active,King,King,NA,NA,Provides water services to customers in the White Center area.
King County Water District No. 49,49,Water,active,King,King,NA,Burien,"Service area includes  portions of Burien, Normandy Park, SeaTac, Tukwila"
King County Water District No. 54 (1939),54,Water,active,King,King,NA,NA,"Service area includes Des Moines, Normandy Park"
